round,model,n_test,RMSE_ms,pct_improvement
S-Vw4,Naive (last-known),1297,0.9654456666507283,0.0
S-Vw4,Ridge,1297,2.1664103087350415,-124.3948451548428
S-Vw4,RandomForest,1297,2.1522160646509696,-122.92461802820253
S-Vw4,XGBoost,1297,2.1245701298961452,-120.06107679436676
S-Vw4,MLP,1297,2.146882538317199,-122.37217613343768
S-Vtb5,Naive (last-known),689,0.7400167744256034,0.0
S-Vtb5,Ridge,689,1.9478032356187547,-163.21068696457968
S-Vtb5,RandomForest,689,1.8561243602701962,-150.8219305854126
S-Vtb5,XGBoost,689,1.9047966091082567,-157.39911241697843
S-Vtb5,MLP,689,1.8713843133969956,-152.88403966917545
S-Vta1a,Naive (last-known),2504,0.17947513013615282,0.0
S-Vta1a,Ridge,2504,1.4196704080381144,-691.0123296532108
S-Vta1a,RandomForest,2504,1.3386863240183573,-645.8895965155772
S-Vta1a,XGBoost,2504,1.3725520364176562,-664.758903017045
S-Vta1a,MLP,2504,1.4419711693620938,-703.4378736865606
S-Vtb2,Naive (last-known),49,0.8574397057002232,0.0
S-Vtb2,Ridge,49,1.9068601288492224,-122.38999619127691
S-Vtb2,RandomForest,49,1.867917452868351,-117.8482569037233
S-Vtb2,XGBoost,49,1.792737625949655,-109.08031363973589
S-Vtb2,MLP,49,1.7344325288046543,-102.28040727228043
