round,model,RMSE,pct_imp,n_test
S-Vw4,Naive (last),1.0798282161716417,0.0,1329
S-Vw4,Ridge,2.1104130204204705,-95.43969946466137,1329
S-Vw4,RandomForest,2.207079191025169,-104.39169471325866,1329
S-Vw4,XGBoost,2.1522275474459263,-99.31203085952922,1329
S-Vw4,MLP,2.0712164291027877,-91.8098080865079,1329
S-Vtb5,Naive (last),0.800924260465017,0.0,700
S-Vtb5,Ridge,2.0125990043597493,-151.28456006454763,700
S-Vtb5,RandomForest,1.9347865246838114,-141.56922448078595,700
S-Vtb5,XGBoost,1.8990694728796749,-137.10974515581216,700
S-Vtb5,MLP,1.9398882513207572,-142.20620439121885,700
S-Vta1a,Naive (last),0.18680207177068556,0.0,2508
S-Vta1a,Ridge,1.8838811350579479,-908.4904932802684,2508
S-Vta1a,RandomForest,1.689460624804117,-804.41214532035,2508
S-Vta1a,XGBoost,1.7241603659945979,-822.9878178819891,2508
S-Vta1a,MLP,1.8433847873857574,-886.8117467394361,2508
S-Vtb2,Naive (last),0.9353202593144117,0.0,52
S-Vtb2,Ridge,1.537903402487123,-64.42532781385532,52
S-Vtb2,RandomForest,1.5733898298934599,-68.21936809609494,52
S-Vtb2,XGBoost,1.4317993242637594,-53.081183691377134,52
S-Vtb2,MLP,1.4250240457747991,-52.35680309323564,52
