round,model,RMSE,pct_imp,n_test
S-Vw4,Naive (zero),1.0771581211847974,0.0,1329
S-Vw4,Ridge,1.0618912130805414,1.417332126453589,1329
S-Vw4,RandomForest,1.0670781777823133,0.9357905031989975,1329
S-Vw4,XGBoost,1.067308372700898,0.9144199250027728,1329
S-Vw4,MLP,1.0622070132935322,1.3880142197526242,1329
S-Vtb5,Naive (zero),0.7972906561982073,0.0,700
S-Vtb5,Ridge,0.739651735035023,7.22934863403882,700
S-Vtb5,RandomForest,0.6762463294614419,15.181957269379263,700
S-Vtb5,XGBoost,0.6524552803865423,18.1659442119009,700
S-Vtb5,MLP,0.6188594047077717,22.37969931082165,700
S-Vta1a,Naive (zero),0.18687103996099855,0.0,2508
S-Vta1a,Ridge,0.47582898205884855,-154.62960026238295,2508
S-Vta1a,RandomForest,0.2281640540152687,-22.09706440489031,2508
S-Vta1a,XGBoost,0.24858805425126276,-33.02652690494206,2508
S-Vta1a,MLP,0.28509463336928564,-52.56223405659172,2508
S-Vtb2,Naive (zero),0.9274878565875022,0.0,52
S-Vtb2,Ridge,0.88916015625,4.132420717455103,52
S-Vtb2,RandomForest,0.8473914092241669,8.635848630733934,52
S-Vtb2,XGBoost,0.8650032578666063,6.736972163796838,52
S-Vtb2,MLP,0.8466305129962813,8.717887033984313,52
