round,model,RMSE,pct_imp,n_test
S-Vw4,Naive (zero),125.62666354619945,0.0,1329
S-Vw4,Ridge,54.680028507473594,56.474185524026986,1329
S-Vw4,RandomForest,59.754114373137554,52.43516568346745,1329
S-Vw4,XGBoost,54.643308037501264,56.50341536181443,1329
S-Vw4,MLP,54.17646270594016,56.875028615229716,1329
S-Vtb5,Naive (zero),123.41594748552555,0.0,700
S-Vtb5,Ridge,60.075111676706435,51.32305597398411,700
S-Vtb5,RandomForest,45.6749878676271,62.9910163166037,700
S-Vtb5,XGBoost,46.818783999119944,62.06423484727455,700
S-Vtb5,MLP,49.11506191221411,60.20363420377709,700
S-Vta1a,Naive (zero),12.173408068970327,0.0,2508
S-Vta1a,Ridge,37.98755803456821,-212.05359928250022,2508
S-Vta1a,RandomForest,5.1264838649742295,57.88785000938651,2508
S-Vta1a,XGBoost,8.050506424227201,33.86809693213427,2508
S-Vta1a,MLP,9.602352299188693,21.12026274988006,2508
S-Vtb2,Naive (zero),68.02131229093753,0.0,52
S-Vtb2,Ridge,44.28890746246457,34.88966035669209,52
S-Vtb2,RandomForest,37.86506640729795,44.333525578949015,52
S-Vtb2,XGBoost,37.48538940634487,44.891699169204294,52
S-Vtb2,MLP,37.48265223740177,44.89572315646786,52
