session,duration_s,actual_dur_s,window_idx,s_gnss,e_gnss,pos_err_gyro,pos_err_zupt,pos_err_hybrid,vel_err_gyro,vel_err_zupt,head_err_deg
S-Vw4.parquet,30,36.0,0,33129,33489,189.64514191160328,519.1032193253455,188.31103292859137,6.347623395208746,3.9055555555555554,38.218302977730815
S-Vw4.parquet,30,36.1,1,44019,44380,428.2799421785269,1064.9682253829108,879.6720729738969,38.016393587793395,8.358333333333333,35.3203141340949
S-Vw4.parquet,30,36.0,2,59229,59589,142.58196951504183,1004.2287946418699,780.0536388672002,41.862089977147505,8.372222222222222,1.928613428936842
S-Vw4.parquet,30,36.0,3,42039,42399,751.1190721640905,926.1373766235853,775.5411215601137,28.855263198794777,8.816666666666666,63.07739338349688
S-Vw4.parquet,30,35.9,4,21520,21879,339.2956864742337,424.0864590844162,95.91907396656836,1.5675543078580754,3.9166666666666665,21.62582388650489
S-Vw4.parquet,30,35.9,5,62290,62649,648.5487904100215,927.1566526236835,606.1628246895332,8.200982380687467,7.174999999999999,74.36124543908333
S-Vw4.parquet,30,36.0,6,39339,39699,536.994967287445,872.0304015205171,539.4883773556862,4.238939153317287,9.258333333333333,19.962681013611814
S-Vw4.parquet,30,35.9,7,23410,23769,685.5126911160335,715.6615087802794,214.82612349841008,6.041666666666666,6.041666666666666,15.97520330922427
S-Vw4.parquet,60,63.1,0,60759,61390,1008.4323700349703,1754.9504668157563,1433.9169567250817,69.54316558893721,7.8805555555555555,52.46293287577467
S-Vw4.parquet,60,62.9,1,61570,62199,713.2743248839996,1806.5893693919797,1171.6106082615931,28.12773250079421,8.041666666666666,67.43044555125073
S-Vw4.parquet,60,63.0,2,49600,50230,1537.9710521135316,1922.1125934652005,1549.2614312648868,60.42319656835648,8.527777777777777,66.66659198136927
S-Vw4.parquet,60,63.0,3,59049,59679,997.1628240311807,1766.6379800113243,1371.5032750753662,60.13673708639518,8.133333333333333,32.23585127946666
S-Vw4.parquet,60,62.9,4,53200,53829,155.08198180278498,1785.0706072079004,1186.4551135507259,50.72920083275367,8.519444444444444,28.79971555507376
S-Vw4.parquet,60,63.0,5,66069,66699,1502.483219014846,1684.641490687205,1010.1593079981886,1.4131292145208079,6.358333333333333,73.24982769888427
S-Vw4.parquet,60,63.0,6,17559,18189,911.8514351294172,995.4831259404361,394.49903592936647,2.7055610880349747,2.7055610880349747,55.03650544328494
S-Vw4.parquet,60,63.1,7,69219,69850,661.1139827321812,1402.0850714142184,431.78280084288474,3.157917331945863,6.175,26.171495968957686
S-Vw4.parquet,120,126.0,0,28809,30069,1667.6419707225812,2944.0889613401164,1384.2496909394727,24.07248761694015,5.9395647463226195,34.93108467209663
S-Vw4.parquet,120,127.0,1,111789,113059,393.7327959107724,171.54431384125635,994.2266867579733,14.792057107059552,3.0527777777777776,119.25988736329157
S-Vw4.parquet,120,125.9,2,53560,54819,5678.542902948569,3729.3152561471816,3370.6484259752183,98.01086862453914,7.708333333333333,158.7808048778293
S-Vw4.parquet,120,126.1,3,40689,41950,1925.828164445019,2265.28596723607,1311.5729295525302,4.0777777777777775,4.0777777777777775,131.1391829292935
S-Vw4.parquet,120,127.1,4,13409,14680,2553.0542318079933,930.7409739275769,1206.6093286378577,30.984133898041538,5.8805555555555555,104.72476780041183
S-Vw4.parquet,120,126.0,5,21699,22959,519.6041627046968,1628.5429882498418,791.4738471434389,36.11972890689145,3.411925935210658,36.28619205140427
S-Vw4.parquet,120,126.0,6,64989,66249,956.5736472407176,3364.454745929615,1687.2919148671758,14.405589839684565,8.055555555555555,32.69733769276422
S-Vw4.parquet,120,126.0,7,33219,34479,1482.5031071228982,1811.3404787303577,1395.469952453751,2.593804265425839,2.084382658456356,69.37950589662626
S-Vw4.parquet,300,305.1,0,88439,91490,4068.8148891619862,119.01586067386286,1826.2001369169031,23.189651337889398,3.0288591313571978,117.67174336043479
S-Vw4.parquet,300,305.9,1,48700,51759,33789.548810794666,8780.273493043043,6649.885408013331,295.93780793363493,8.533333333333333,23.235648440973506
S-Vw4.parquet,300,306.0,2,16569,19629,2886.5857502644603,3009.4677919163382,3392.8906034176925,4.1382157470688234,5.0472222222222225,26.104154595694126
